mid,bid,ask,bid_vol,ask_vol
100.0,99.995,100.005,8,10
100.030859898249,100.02585989824901,100.035859898249,6,10
99.92550411103745,99.92050411103746,99.93050411103745,9,9
100.00144864021426,99.99644864021427,100.00644864021426,8,16
100.09670471166996,100.09170471166996,100.10170471166995,13,10
99.89892461957194,99.89392461957195,99.90392461957194,9,5
99.76718106963378,99.76218106963378,99.77218106963377,8,8
99.78009782769672,99.77509782769673,99.78509782769672,8,10
99.74814112377484,99.74314112377485,99.75314112377484,9,4
99.74644388984066,99.74144388984067,99.75144388984066,19,10
99.66027182306523,99.65527182306523,99.66527182306523,7,15
99.74902935567636,99.74402935567636,99.75402935567635,9,8
99.82760171721213,99.82260171721214,99.83260171721213,8,11
99.8342773772993,99.8292773772993,99.8392773772993,7,12
99.94824834274648,99.94324834274649,99.95324834274648,14,9
99.99557035167992,99.99057035167992,100.00057035167991,8,11
99.90855027603398,99.90355027603398,99.91355027603397,6,13
99.94586096784595,99.94086096784595,99.95086096784594,10,6
99.84880372633324,99.84380372633325,99.85380372633324,14,10
99.93763333611462,99.93263333611462,99.94263333611461,17,9
99.93258029594452,99.92758029594452,99.93758029594451,7,12
99.91387117878031,99.90887117878032,99.91887117878031,15,10
99.84497015799055,99.83997015799055,99.84997015799054,6,8
99.96858978725898,99.96358978725898,99.97358978725897,8,12
99.95294489391065,99.94794489391066,99.95794489391065,12,13
99.90958686093167,99.90458686093167,99.91458686093166,9,13
99.8739571531159,99.8689571531159,99.87895715311589,11,12
99.92779825138564,99.92279825138564,99.93279825138563,10,10
99.9647814885929,99.95978148859291,99.9697814885929,11,7
100.00656582397171,100.00156582397172,100.01156582397171,6,5
100.05019962769362,100.04519962769362,100.05519962769361,6,6
100.26720159079625,100.26220159079625,100.27220159079624,10,10
100.22593236398244,100.22093236398244,100.23093236398243,14,11
100.17393831969329,100.1689383196933,100.17893831969329,9,7
100.09138100244698,100.08638100244698,100.09638100244698,10,12
100.15382066940357,100.14882066940358,100.15882066940357,11,17
100.26833200950513,100.26333200950513,100.27333200950513,7,16
100.25676113662452,100.25176113662452,100.26176113662451,15,8
100.17145671508922,100.16645671508923,100.17645671508922,14,8
100.08781509292005,100.08281509292006,100.09281509292005,16,7
100.15376104542706,100.14876104542707,100.15876104542706,16,13
100.22914906075808,100.22414906075808,100.23414906075807,12,21
100.28428248062328,100.27928248062328,100.28928248062327,21,10
100.21669208970215,100.21169208970215,100.22169208970215,17,9
100.24025492924878,100.23525492924878,100.24525492924877,14,14
100.25210055197904,100.24710055197905,100.25710055197904,11,8
100.27430384093958,100.26930384093959,100.27930384093958,13,9
100.36279894527493,100.35779894527494,100.36779894527493,10,9
100.38552550037946,100.38052550037946,100.39052550037945,12,7
100.45454682247029,100.4495468224703,100.45954682247029,12,7
