mid,bid,ask,bid_vol,ask_vol
100.0,99.995,100.005,8,15
100.06233323576024,100.05733323576024,100.06733323576023,4,5
100.04497147267047,100.03997147267047,100.04997147267046,11,9
100.12628721174822,100.12128721174822,100.13128721174822,8,11
100.31765536539623,100.31265536539624,100.32265536539623,8,16
100.28817784612296,100.28317784612297,100.29317784612296,12,11
100.2587110547995,100.25371105479951,100.2637110547995,12,12
100.45740101098039,100.4524010109804,100.46240101098039,9,10
100.554147792031,100.54914779203101,100.559147792031,11,14
100.49490643072865,100.48990643072865,100.49990643072864,12,9
100.56332988494191,100.55832988494191,100.5683298849419,11,8
100.50484745712524,100.49984745712524,100.50984745712523,10,11
100.44610743169235,100.44110743169236,100.45110743169235,12,6
100.47660701470042,100.47160701470042,100.48160701470042,16,8
100.2353629231321,100.2303629231321,100.2403629231321,10,6
100.01839151049984,100.01339151049984,100.02339151049983,7,8
99.94781641818527,99.94281641818527,99.95281641818526,10,10
99.82078139100823,99.81578139100823,99.82578139100822,6,11
99.86014597829633,99.85514597829633,99.86514597829633,12,12
99.74635634507099,99.741356345071,99.75135634507099,6,12
99.56957425065389,99.56457425065389,99.57457425065388,12,7
99.75270855160859,99.7477085516086,99.75770855160859,11,14
99.72444568644119,99.71944568644119,99.72944568644118,11,11
99.73289652824576,99.72789652824576,99.73789652824576,7,9
99.55458078730823,99.54958078730823,99.55958078730822,11,13
99.48656985627989,99.48156985627989,99.49156985627988,7,6
99.50041819237417,99.49541819237417,99.50541819237417,7,14
99.35670026557487,99.35170026557488,99.36170026557487,12,10
99.40354375097898,99.39854375097899,99.40854375097898,10,11
99.32861848240543,99.32361848240544,99.33361848240543,15,9
99.2922592541988,99.2872592541988,99.29725925419879,5,10
99.21728479981071,99.21228479981072,99.22228479981071,6,8
99.44790996098493,99.44290996098493,99.45290996098493,6,8
99.44622552978585,99.44122552978585,99.45122552978584,11,15
99.31422720080995,99.30922720080996,99.31922720080995,9,10
99.41674144763276,99.41174144763276,99.42174144763275,7,9
99.26442994233767,99.25942994233768,99.26942994233767,6,9
99.29044768052356,99.28544768052356,99.29544768052355,9,9
99.04627134158649,99.0412713415865,99.05127134158649,13,8
98.88118536530236,98.87618536530236,98.88618536530235,8,14
98.90561331452507,98.90061331452507,98.91061331452507,12,7
98.99727016363155,98.99227016363156,99.00227016363155,6,12
99.0185597290988,99.0135597290988,99.02355972909879,10,7
99.00418932670004,98.99918932670005,99.00918932670004,13,11
98.96677974990152,98.96177974990152,98.97177974990151,6,7
98.78315536046799,98.77815536046799,98.78815536046798,10,12
98.69392050047423,98.68892050047424,98.69892050047423,9,11
98.63686939983774,98.63186939983774,98.64186939983773,8,9
