mid,bid,ask,bid_vol,ask_vol
100.0,99.995,100.005,9,10
100.07228021750572,100.067332879148,100.07722755586344,12,13
100.14329327334752,100.13830055982685,100.1482859868682,11,9
100.21967790693766,100.21473356346632,100.224622250409,11,7
100.25538551696519,100.2504192489383,100.26035178499208,8,10
100.19050735608461,100.18558279534804,100.19543191682118,12,8
100.20694571495689,100.20201374287619,100.21187768703759,12,7
100.10341097244081,100.09844585660005,100.10837608828157,13,11
100.16944887236299,100.164526730802,100.17437101392399,11,11
100.14770228211776,100.1427386847673,100.15266587946823,10,9
100.17859942108173,100.17368146549248,100.18351737667098,8,10
100.20585053804888,100.20094643481931,100.21075464127844,6,5
100.20723769270332,100.20235516243032,100.21212022297631,6,9
100.11830441605068,100.11342346513008,100.12318536697127,5,12
100.1564884963665,100.15162292748106,100.16135406525196,10,10
100.12882837947288,100.12394817774955,100.1337085811962,12,11
100.13801092235975,100.13317946540555,100.14284237931396,9,5
100.1216206689905,100.11683187617379,100.12640946180721,9,10
100.24501232869935,100.24012025355135,100.24990440384734,17,10
100.2210990730844,100.2162255882952,100.2259725578736,15,10
100.28982134252381,100.2849479512604,100.29469473378721,13,15
100.36879668118245,100.36395694813642,100.37363641422847,8,6
100.37493456828719,100.3701552130502,100.37971392352418,15,8
100.3894332680166,100.38459461760468,100.39427191842853,12,16
100.38390843601275,100.37898061448615,100.38883625753934,7,14
100.37161575225242,100.3666541100074,100.37657739449745,10,6
100.34569233989255,100.34073236829308,100.35065231149203,11,13
100.33082118010877,100.32585884254921,100.33578351766833,8,12
100.4007929662567,100.3958183429515,100.4057675895619,13,13
100.38260970470961,100.37767138564567,100.38754802377355,7,11
100.35974825586776,100.35483531488651,100.364661196849,11,9
100.40628088849722,100.4014212139559,100.41114056303854,5,11
100.40051244130214,100.39569915352357,100.40532572908072,16,8
100.39405327610669,100.38924799140543,100.39885856080795,6,11
100.39525273760394,100.3904259971331,100.40007947807479,7,11
100.42201158348034,100.41723663355185,100.42678653340883,11,6
100.36508856466496,100.36023618262915,100.36994094670077,9,8
